db_name,ionized_mass;
MG 18:3 [M+H-H2O]+,335.2581;
MG 18:4 [M+H-H2O]+,333.2424;
MG 20:0 [M+H-H2O]+,369.3363;
MG 20:1 [M+H-H2O]+,367.3207;
MG 20:2 [M+H-H2O]+,365.3050;
MG 20:3 [M+H-H2O]+,363.2894;
MG 20:4 [M+H-H2O]+,361.2737;
MG 20:5 [M+H-H2O]+,359.2581;
MG 22:1 [M+H-H2O]+,395.3520;
MG 22:4 [M+H-H2O]+,389.3050;
MG 22:5 [M+H-H2O]+,387.2894;
MG 22:6 [M+H-H2O]+,385.2737;
PA 28:0 [M+H]+,593.4177;
PA 28:1 [M+H]+,591.4020;
PA 28:2 [M+H]+,589.3864;
PA 30:0 [M+H]+,621.4490;
PA 30:1 [M+H]+,619.4333;
PA 30:2 [M+H]+,617.4177;
PA 32:0 [M+H]+,649.4803;
PA 32:1 [M+H]+,647.4646;
PA 32:2 [M+H]+,645.4490;
PA 32:3 [M+H]+,643.4333;
PA 34:0 [M+H]+,677.5116;
PA 34:1 [M+H]+,675.4959;
PA 34:2 [M+H]+,673.4803;
PA 34:3 [M+H]+,671.4646;
PA 34:4 [M+H]+,669.4490;
PA 36:0 [M+H]+,705.5429;
PA 36:1 [M+H]+,703.5272;
PA 36:2 [M+H]+,701.5116;
PA 36:3 [M+H]+,699.4959;
PA 36:4 [M+H]+,697.4803;
PA 36:5 [M+H]+,695.4646;
PA 36:6 [M+H]+,693.4490;
PA 38:0 [M+H]+,733.5742;
PA 38:1 [M+H]+,731.5585;
PA 38:2 [M+H]+,729.5429;
PA 38:3 [M+H]+,727.5272;
PA 38:4 [M+H]+,725.5116;
PA 38:5 [M+H]+,723.4959;
PA 38:6 [M+H]+,721.4803;
PA 38:7 [M+H]+,719.4646;
PA 38:8 [M+H]+,717.4490;
PA 40:0 [M+H]+,761.6055;
PA 40:1 [M+H]+,759.5898;
PA 40:10 [M+H]+,741.4490;
PA 40:2 [M+H]+,757.5742;
PA 40:3 [M+H]+,755.5585;
PA 40:4 [M+H]+,753.5429;
PA 40:5 [M+H]+,751.5272;
PA 40:6 [M+H]+,749.5116;
PA 40:7 [M+H]+,747.4959;
PA 40:8 [M+H]+,745.4803;
PA 40:9 [M+H]+,743.4646;
PA 42:1 [M+H]+,787.6211;
PA 42:10 [M+H]+,769.4803;
PA 42:11 [M+H]+,767.4646;
PA 42:2 [M+H]+,785.6055;
PA 42:3 [M+H]+,783.5898;
PA 42:4 [M+H]+,781.5742;
PA 42:5 [M+H]+,779.5585;
PA 42:6 [M+H]+,777.5429;
PA 42:7 [M+H]+,775.5272;
PA 42:8 [M+H]+,773.5116;
PA 42:9 [M+H]+,771.4959;
PA 44:10 [M+H]+,797.5116;
PA 44:11 [M+H]+,795.4959;
PA 44:12 [M+H]+,793.4803;
PA 44:2 [M+H]+,813.6368;
PA 44:5 [M+H]+,807.5898;
PA 44:6 [M+H]+,805.5742;
PA 44:7 [M+H]+,803.5585;
PA 44:8 [M+H]+,801.5429;
PA 44:9 [M+H]+,799.5272;
PC 28:0 [M+H]+,678.5068;
PC 28:1 [M+H]+,676.4912;
PC 30:0 [M+H]+,706.5381;
PC 30:1 [M+H]+,704.5225;
PC 30:2 [M+H]+,702.5068;
PC 32:0 [M+H]+,734.5694;
PC 32:1 [M+H]+,732.5538;
PC 32:2 [M+H]+,730.5381;
PC 32:3 [M+H]+,728.5225;
PC 34:0 [M+H]+,762.6007;
PC 34:1 [M+H]+,760.5851;
PC 34:2 [M+H]+,758.5694;
PC 34:3 [M+H]+,756.5538;
PC 34:4 [M+H]+,754.5381;
PC 36:0 [M+H]+,790.6320;
PC 36:1 [M+H]+,788.6164;
PC 36:2 [M+H]+,786.6007;
PC 36:3 [M+H]+,784.5851;
PC 36:4 [M+H]+,782.5694;
PC 36:5 [M+H]+,780.5538;
PC 36:6 [M+H]+,778.5381;
PC 38:0 [M+H]+,818.6633;
PC 38:1 [M+H]+,816.6477;
PC 38:2 [M+H]+,814.6320;
PC 38:3 [M+H]+,812.6164;
PC 38:4 [M+H]+,810.6007;
PC 38:5 [M+H]+,808.5851;
PC 38:6 [M+H]+,806.5694;
PC 38:7 [M+H]+,804.5538;
PC 38:8 [M+H]+,802.5381;
PC 40:0 [M+H]+,846.6946;
PC 40:1 [M+H]+,844.6790;
PC 40:10 [M+H]+,826.5381;
PC 40:2 [M+H]+,842.6633;
PC 40:3 [M+H]+,840.6477;
PC 40:4 [M+H]+,838.6320;
PC 40:5 [M+H]+,836.6164;
PC 40:6 [M+H]+,834.6007;
PC 40:7 [M+H]+,832.5851;
PC 40:8 [M+H]+,830.5694;
PC 40:9 [M+H]+,828.5538;
PC 42:1 [M+H]+,872.7103;
PC 42:10 [M+H]+,854.5694;
PC 42:11 [M+H]+,852.5538;
PC 42:2 [M+H]+,870.6946;
PC 42:3 [M+H]+,868.6790;
PC 42:4 [M+H]+,866.6633;
PC 42:5 [M+H]+,864.6477;
PC 42:6 [M+H]+,862.6320;
PC 42:7 [M+H]+,860.6164;
PC 42:8 [M+H]+,858.6007;
PC 42:9 [M+H]+,856.5851;
PC 44:10 [M+H]+,882.6007;
PC 44:11 [M+H]+,880.5851;
PC 44:12 [M+H]+,878.5694;
PC 44:2 [M+H]+,898.7259;
PC 44:5 [M+H]+,892.6790;
PC 44:6 [M+H]+,890.6633;
PC 44:7 [M+H]+,888.6477;
PC 44:8 [M+H]+,886.6320;
PC 44:9 [M+H]+,884.6164;
PC O-28:0 / PC P-28:-1 [M+H]+,664.5276;
PC O-28:1 / PC P-28:0 [M+H]+,662.5119;
PC O-28:2 / PC P-28:1 [M+H]+,660.4963;
PC O-30:0 / PC P-30:-1 [M+H]+,692.5589;
PC O-30:1 / PC P-30:0 [M+H]+,690.5432;
PC O-30:2 / PC P-30:1 [M+H]+,688.5276;
PC O-32:0 / PC P-32:-1 [M+H]+,720.5902;
PC O-32:1 / PC P-32:0 [M+H]+,718.5745;
PC O-32:2 / PC P-32:1 [M+H]+,716.5589;
PC O-32:3 / PC P-32:2 [M+H]+,714.5432;
PC O-34:0 / PC P-34:-1 [M+H]+,748.6215;
PC O-34:1 / PC P-34:0 [M+H]+,746.6058;
PC O-34:2 / PC P-34:1 [M+H]+,744.5902;
PC O-34:3 / PC P-34:2 [M+H]+,742.5745;
PC O-34:4 / PC P-34:3 [M+H]+,740.5589;
PC O-36:0 / PC P-36:-1 [M+H]+,776.6528;
PC O-36:1 / PC P-36:0 [M+H]+,774.6371;
PC O-36:2 / PC P-36:1 [M+H]+,772.6215;
PC O-36:3 / PC P-36:2 [M+H]+,770.6058;
PC O-36:4 / PC P-36:3 [M+H]+,768.5902;
PC O-36:5 / PC P-36:4 [M+H]+,766.5745;
PC O-36:6 / PC P-36:5 [M+H]+,764.5589;
PC O-36:7 / PC P-36:6 [M+H]+,762.5432;
PC O-38:0 / PC P-38:-1 [M+H]+,804.6841;
PC O-38:1 / PC P-38:0 [M+H]+,802.6684;
PC O-38:2 / PC P-38:1 [M+H]+,800.6528;
PC O-38:3 / PC P-38:2 [M+H]+,798.6371;
PC O-38:4 / PC P-38:3 [M+H]+,796.6215;
PC O-38:5 / PC P-38:4 [M+H]+,794.6058;
